"bill_id","sponsor_icpsr","cosponsors_icpsr","year","chamber"
"hconres65-117","29769","21545 21506 21901 21551 21701 21333 21352 21554 21519 21548 21708 21329 21749 21358 20322 20517 20501 21910 29717 21328 21915 31101 21307 29561 21531 21750 21566 21307 21717 21749 21307 21718 21720 21307 21922 21923 21723 21559 20519 20907 21307 21725 21346 21142 21985 21935 21353 15029 21542 21985 21167 21372 21368 21307 21730 21340 21562 21756 29908 21732 29393 20926 21307 21307 21307 20122 20535 21946 21307 21557 21307 20537 21761 21987 21738 21739 21307 21740 29741 20705 21953 21370 20909 20954 21956 21959 21544 21326 20944 21105 20321 29759 21102 21965 29768 21373 21745 21969 21986 21541 21970 21972 21747 21749 20946 21974 21978 21337 21330 21351 21763 21364","2021","2"
"hconres66-117","21307","21545 21900 21110 21985 21172 20501 21309 21566 20305 29573 21307 20712 21728 29769 29778 21940 20122 29729 29903 15616 21950 31103 29317 20321 20927 21508 21314","2021","2"
"hconres67-117","20517","20124","2022","2"
"hconres68-117","21711","21358 21139 20136 14863 21351","2022","2"
"hconres69-117","29504","NA","2022","2"
"hconres7-117","21946","21901 21551 21701 21705 29339 21519 21708 21905 20355 21307 20322 21172 21908 21328 21179 21307 21718 21719 21924 21925 21307 21929 21307 21149 21985 21985 15029 29908 21757 21307 31102 21735 21188 20535 21307 21557 21951 21307 21373 21971 21979 21307 21116","2021","2"
"hconres70-117","21545","21506 21703 21110 21352 29339 21706 21986 21707 21749 21986 20340 21709 20757 21749 20708 21362 21172 21375 20733 20517 39301 20748 15019 20501 20706 21712 29717 15410 29571 21307 21502 20958 21922 20529 21931 21503 21934 14873 29573 21307 21343 39305 20712 21985 21985 15029 20136 29908 21530 21732 29778 21938 21749 21507 21941 21942 29379 21344 21986 21944 20122 29729 20535 29776 21342 15433 29377 21948 21985 21536 21753 15616 21950 15454 21951 31103 15448 21315 21554 21955 20954 21307 20329 29346 20902 20724 21762 29911 20104 21326 20944 20321 39307 21102 20542 21965 20762 21972 21307 21747 21312 29368 21974 20927 21307 21977 21978 20342 21314 20504 21538 21307 21118 20723","2022","2"
"hconres71-117","21103","20527 21307 21980","2022","2"
"hconres72-117","29379","20955 21172 20733 20748 20952 29717 31101 21529 29561 21917 29312 21715 21930 21985 20902 21507 29729 21342 20537 21761 29377 15616 21950 29317 20329 29346 29911 20762 20927 21538 21307","2022","2"
"hconres73-117","21931","20706 20907 20136 21938 31103 14066","2022","2"
"hconres74-117","20927","21116","2022","2"
"hconres75-117","21749","21701 21905 29550 20501 21911 21755 21307 21149 20107 29573 21162 21353 21302 21735 20522 21188 21307 21971 21337 20138","2022","2"
"hconres76-117","20355","29701 21700 21551 21702 29760 21193 21749 20757 21513 20748 21565 20501 21911 21328 20316 21307 21718 21307 21139 21307 21162 21727 15029 21340 20704 21307 21307 21188 20535 21307 21307 21556 21753 21500 21951 21307 20954 21971 21367 21306 21974 15446 21307 21360 21351 20138","2022","2"
"hconres77-117","21557","21906 21564 21103 21346 15616 21307","2022","2"
"hconres78-117","21940","21307 21703 21304 21198 21986 21707 21986 21709 20757 20733 20952 29717 29710 29571 21917 21715 21921 21922 21754 21931 21726 20712 20902 20145 29778 29379 21342 20537 21761 21525 29377 21985 15616 21370 21954 21955 15438 20954 29911 20104 20542 21307 21975 21977 21978 29378 21538 21307 21118","2022","2"
"hconres79-117","29109","NA","2022","2"
